start,end,text
2.35,31.36,"Okay, a very warm welcome to this first lecture of Introduction to Data Science. So this lecture will be a bit atypical, right? In later lectures, we typically look at one specific problem and then talk about the algorithms to address this. But today is a kind of overview telling you practical things about how the course is organized, etc. So this is a bit different."
31.36,59.41,than the normal lectures will will be let me just get started so as i just mentioned i would like to talk a bit how is this course organized i'm happy to answer any questions that you have related to that and then i start with a bit of an overview with the relatively boring things like what is data etc etc but also giving a bit of a preview of things that you will see later
59.92,90.26,"So let's just dive into it. So what are the rules of the game, right? So the people that are here, they know when and where the lecture is, although they do not know exactly the time at which it starts, it seems. But here is an overview of the entire course. So we try to provide you with all the information, right? When are the lectures? What are the topics? When are the deadlines for the assignments, et cetera, et cetera, right? And you can see that here."
90.35,120.32,"You also see that there is a long list of topics. So this is a course. It's a data science course. In the title, it says introduction. But at the same time, it's at the master level. So what we will do is we will cover many different topics. So we are not focusing on one particular aspect of data science. It's very broad. But in various areas, we will go, let's say, quite deep."
120.32,149.54,"And here you can see a list of topics. So it's very broad. So in this course, you have the opportunity to learn many different things. In the end, you will see a pattern that many of these things have lots of things in common. But in the beginning, all of this will be a bit confusing and it all looks different. But after a while, you will see that there are central things and central problems that we are trying to address. On Moodle,"
149.54,186.42,"So has everybody who has not registered on Moodle who is here? So there are a few. I hope it's not because you have a technical problem. So Moodle is the system that we use to... Also the slides that I'm showing you now are already on Moodle. So you can take a look at that. That's also the platform that is used for, let's say, assignments and all kinds of things."
186.42,216.85,"So on Moodle, which you have access to, so if there are people that have problems with this for whatever reason, that there is a problem with a registration or something like that, we can also add people as a viewer, right? So that you can see things even though you are not registered yet. So there is a lot of information and I will just summarize some of the things that are there. So these are the people that are involved in this course."
216.85,246.5,"So I will be giving most of the lectures. And here you see, let's say, the other, let's say, people involved in this course, mostly of all PhDs from the Process and Data Science group. One is sitting there. So there is Aaron. And Aaron is like also, let's say, a bit the head of the team. But what is also indicated in the box there, and that's very important, never send."
246.5,274.75,"emails to individual people, right? Because you do not know how the work is distributed and that leads to all kinds of coordination problems, right? If you just approach a random person. What you will see over time is that certain topics, I don't know, sequence mining, for example, is handled by a very specific person, right? And we provide this one email to make this smooth."
274.75,296.75,"Perhaps a few things about myself. So we have four children and a dog, as you see. As you can hear from my accent, I'm Dutch, although I was born in the wrong country because I love the mountains. As you know, we live very close to the highest point of the Netherlands, and then you realize how depressing that is."
297.23,324.18,"I'm also known as the godfather of process mining because I'm basically the inventor of the topic of process mining. Some of you have heard about it, others did not hear about it. That will be one of the topics that we will, let's say, cover towards the end a bit. Next to being a professor here, I'm also the chief scientist of Salonis, which is the leading process mining company."
324.34,351.49,"I'm also one of the directors of the AI Center. So you see a picture here of all the directors of the AI Center. I'm also head of the ICT profile area, although I realize that for you as a student, you have no idea what the profile area is. But in two weeks, our university will go again for the excellence status. We will be reviewed again."
351.49,381.02,"And then these structures play a very important role. And they are kind of essential for our financing. So these are a few words about myself, a few words about the group. So the Process and Data Science Group, BATS, is trying to bridge, let's say, processes and data or AI-related topics. So traditionally, lots of the research was..."
381.02,407.73,"either on processes with process modeling, simulation, and these types of things, or it was on machine learning, data mining, data science, et cetera, et cetera. And we are one of the few groups or one of the first groups trying to combine these two areas. And the connecting tissue between these two fields, as you will see later, is the topic of process mining, where you are trying to find out"
407.79,438.5,"in processes, what are, let's say, the problems, where are the bottlenecks, where are the deviations, et cetera, et cetera, and doing this in a data-driven way. A topic that we will talk about later. I already indicated that there are things like, I don't know, the AI center here at RWTH, there are things like the profile area ICT. So I just encourage you, specifically because you're"
438.5,467.87,uh you are master students you're also going into let's say doing a master thesis here at this university so please be aware of this ecosystem and things that you can exploit during your studies right because it would be stupid not to use the the the things that are out there so as a group some of the people in our group are also let's say working for Fraunhofer and
467.87,495.15,"At this campus, as I said, I'm the chief scientist of Salonis. Also at this campus, there is like an office of Salonis here in Malata. Practical things, you know where you are, right? Later this week, it will be in a bit of a smaller room on the other side of the building. Then it will be a bit, let's say, cozy."
495.22,525.42,"But experience shows that after a couple of weeks, this is not a problem anymore. The typical issue that I think you see in any lecture at the beginning of the semester, there is a space problem. Halfway this semester, all the buildings seem empty. It's simply the way that it is. This is not an online course, so you're supposed to be here. I already got many."
525.42,554.45,uh let's say personal emails from i don't know students all over the world whether asking me whether they actually have to be here yeah and the answer is it's your own responsibility right we do not force you to be in this room but definitely at the end there will be like a written exam where you have to be present and also there will be a group assignment and doing a group assignment while you are i don't know not physically here
554.45,583.66,"I think is not very good. It's not very nice. But that's your own responsibility. As I mentioned, this is not an online course. I talked about the things that are here. There are some old recordings already online. And as you can see, Video Ake is so nice to make, let's say, new recordings this year. And they will be provided to you. So all of this will be there."
584.34,614.06,"What is the material? So you do not have to buy these books. And there is not one book that is able to cover all of the different things that we are talking about. But these are books that I will often refer to. But the idea is that the slides are kind of stand-alone, sufficient information for you to do it. But of course, this also works better if you are actually at a lecture."
614.06,640.37,"rather than that you look at the slides and try to understand them. As I said, there is not a single textbook on the topic. So this is just the nature of this course. It's a collection of many, many things. You will learn a lot. And there is not a single book or a single tool that would support this. You will also be doing assignments."
640.37,665.9,"And that will be, let's say, moved through to Evita Moodle. So the rhythm is that there are two lectures per week on Monday and on Wednesday. And on every Thursday there is an instruction. It typically follows the stuff that has been discussed in the same week or the week before. So that is one part."
665.9,695.82,"The other part is that you will do an assignment. I will talk about that later. And this assignment is hands-on because I think the best way for you to learn is that you hear about an algorithm, you understand what it is doing, and that you're then applying it yourself to a data set and that you experience how that actually works, right? I think everybody agrees that that is the best way to learn this, but you have to force yourself to also actually do this."
695.82,723.49,"And that's why we have these, let's say, assignments where you have to do that. In these assignments, we are using Python and various Python libraries where we indicate to you what you should use. So this is not a programming course. This is a data science course. But some basic understanding of Python is assumed. If you go to RWTH Moodle,"
