start,end,text
2.8,31.18,"Okay, let's get started. A very warm welcome to the second lecture. Today, as I kind of warned you, we are not going into super technical things. We are still, let's say, at the level where we are, let's say, talking about various topics. As of next week, we will go in, let's say, more concrete algorithms, like, so for example, next week you will learn..."
31.18,60.99,"how to build a decision tree, how to apply regression. After that, we go to support vector machines, et cetera, et cetera. So this is still a bit of a lecture where I'm covering multiple topics. Some of these topics you actually have to be able to do hands-on. So for example, I will explain to you how a boxplot is created. And this would be a typical example of something that you should be able to do."
60.99,89.71,"let's say, as a pen and paper exercise. But let's simply jump into it. So these are the topics that we have today. We talk a bit about visualization, but there is a later lecture that goes much deeper into this. But we mostly talk about preparing the data for analysis. And we look at basic, let's say, descriptive statistics of the data."
89.74,119.42,"So here are the topics. And when you are, for example, doing your assignments, there are many of these things that you are already applying. So, for example, you need to normalize the data. Sometimes you need to use things like binning. Sometimes you need to make sure that your data is balanced. So many practical things we will talk about today that you..."
119.42,148.86,"I'm sure you will recognize that if you do the assignments that you actually need them. Let's continue a bit where we, let's say, stopped yesterday, or I should say Monday. So it starts with data extraction. I explained you what the difference is between a data warehouse and a data lake. I hope you remember the bottles of water. But one of the main things, one of the main challenges is to extract data from existing systems."
148.86,175.68,"And like in this course, we cannot give you really that experience, how that feels in real life. So in the last lecture, I asked you how many tables SAP had, and then I think somebody said 10,000, and it is actually 800,000, right? So these things are much more complicated than you think. Then we talked about the different types of data."
175.68,204.78,"So we will mostly talk about structured data, and we will talk just a bit about unstructured data. Of unstructured data, the thing that we will talk about most is text, right? How to analyze text there. But most of our data will be structured, and I introduced, let's say, this taxonomy in the lecture on Monday, and I briefly repeat it with some examples."
204.78,234.69,"So we have categorical data that is nominal. That means that there is no natural order. So this could be true or false. This could be, I don't know, color. This could be gender. This could be, I don't know, a breed of dogs. And so dogs are not the... So if I have, let's say, one type of dog or another type of dog, there is not a natural ordering there. So that is nominal data."
234.69,261.7,"If we look at ordinal data, that's also categorical data, so not a number, but there is a very clear order. So, I don't know, I'm very happy, I'm happy, I'm sad, I'm depressed, or something like that, right? That could be like a scale where all of you are able to order the words that I'm talking about. So that is, let's say,"
261.7,290.45,"ordinal data, categorical data that has an order. And for example, I think some of you are familiar with the Likert scale. That's a scale that is typically being used if you do questionnaires or something like that. So here for various types of questions, you map it onto five values. So for example, if you look at the first row here, for example, frequency ranges from never to always."
290.45,318.4,"And let's say, I think everybody will agree that rarely is in between never and sometimes, and often is in between sometimes and always. And I can do that for all of these things. So it's not a number. They are still categorical, but there is a clear order related to this. Then we go to numerical data. If we look at continuous data,"
318.4,345.65,"we distinguish between interval-scaled and ratio-scaled. And as I explained on Monday, the difference that you should check whether it belongs to one type or the other one is can you say in a meaningful way twice as much, twice as fast, twice as, I don't know, twice the distance or something like that."
345.65,374.59,"And if you are able to say two times in a meaningful way, then that typically means that there is a zero that has a meaning. Right? So I can say, I don't know, one bag is two times as heavy as another bag. I can say that because it's ratio scaled. That means that there is a clear zero there. Right? So that's the thing that you..."
374.59,404.94,"should bear it in mind. So I hope that this is clear. Then we typically look at, as I said, tabular data, right, where the rows correspond to instances and the columns are corresponding to features. We will also talk a bit about text. We will also talk a bit about, let's say, for example, when we talk about neural networks, we will talk a bit about images, but we'll not go very deep."
404.94,431.09,"In most of the cases, we look at tables that look a bit like this. So our input is we have features. These are the columns. And we have instances. These are the rows. And we have seen you can use many other terms. So sometimes people talk about things like a response variable, et cetera, et cetera. But we have features and instances."
431.09,461.3,"And if we are interested in a very particular feature, we call that the target feature. The feature that we would like to understand. So what you will see is that there are special features like the target feature. Right? And if you talk about the target feature, you typically try to understand the target feature in terms of the other features. So for example, I don't know, if you look at the credit card application process,"
461.3,490.88,"The outcome can be that your application is accepted or rejected. And you may learn, for example, a decision tree explaining under which circumstances typically a credit card gets rejected or accepted. Another special feature that you often see is time. Most of the data that we look at has somehow a timestamp. Something has happened. And time is very special."
490.88,520.46,"So you will have many lectures, perhaps roughly one-third of the lectures that you will see, is where we look at data science questions that involve time. So think about things like time series, but we also talk about things like sequence mining, process discovery, conformance checking. These are all things where data has a temporal dimension. And that's hopefully clear to you that that is very important."
521.04,550.88,"Visualization is very important. So who has seen this example before? That is surprising, right? So this is a data set that is very famous. It's called ANSCOMS Quartet. And this is an example where we have four data sets, right? Indicated in the different columns."
550.88,579.49,"And from a statistical point of view, if we would look at descriptive statistics, they are identical. And let me explain what I mean by identical. If you would look at the average value of x, so here you have one data set, here you have another data set, another data set, another data set, the average of these x values is precisely 9. And it's very difficult now for you to check it for these numbers."
579.49,607.7,"But for example, all of these values are, there are 10 values equal to 8, and there is one value equal to 90. And if you then compute, you will see, yes, the average here is precisely 9. So the average of x is identical. If we look at the average of y, it is also identical. It's approximately 0.5. So if we sum up all these y values,"
