start,end,text
4.11,32.82,"Okay, let's try this again now. So, good morning, my name is Vicky. I will be presenting decision trees and you will have Professor Van der Alst back next week. On Wednesday, Aaron will be here. So, if you cannot hear me in case at some point I get pretty silent, then please raise your hand and tell me."
33.33,64.54,other than that then let's just start and if you have questions you can anytime also just raise your hand. So what is the outline of today's lecture? We will first like very briefly talk about supervised learning since decision trees are is the first kind of presentation on supervised learning and then in the following weeks you will have a few more. Then again briefly we will talk about
64.54,86.75,"how one should not force or torture the data to say something when maybe there is no such information in it. And then finally we will introduce decision trees after which we will talk about entropy because that's like a main concept that will help us decide, help us build the decision tree."
86.75,119.74,"And then we will go to the ID3 algorithm, which is the initial algorithm for decision trees. And we will finish with some variations of the algorithm and also how to handle continuous variables. So supervised learning. Our data is, let's say, in this format where each row represents one instance and then each column is a descriptive feature. Or a feature, not a descriptive feature. And then..."
119.74,150.93,"all of them except for one are descriptive features and then we have one target feature. And the idea with supervised learning is that we want in some way to be able to predict the target feature given the values of the descriptive features. So we want some kind of function that will tell us the output. How do we? So, right?"
150.93,178.78,before we had it kind of on on a feature level and now let's say we have if we replace specific values we go from descriptive features let's say order id that is three two four two four and then some product some price and some date we want to know if there is going to be complaint or not um and here we will see in the in the following
178.78,208.42,"kind of lectures that there are different options for this, let's say, F or the method representing the supervised prediction. However, today we are going to talk about decision trees. So we will come back to how decision trees look later on more concretely, but basically at each node we try for some descriptive feature to make a decision whether we go left or right."
208.42,237.09,"And then we continue that as long as we kind of need until we get to some leaf node where we will see whether the label, where we will predict the target label basically. But before going to decision trees, kind of this part where it's let the data speak and do not force the data. And we start here by..."
237.09,258.48,"talking about statistics and statistics have been there for quite a while, like John Grant in the 17th century already, he recorded deaths or used death records to be able to predict life expectancy of a person at a particular age."
258.48,286.82,"So he was the first to create such a live table. I mean, later on they are still used also in insurance companies. But basically we will see that this is like four centuries ago. Then in the 19th century, let's say more concrete terms that we still use today, like variance, normal distribution, correlation."
