start,end,text
1.74,29.87,"Okay, I suggest we start on time. We have a lot of kind of content to get through today. Welcome to the fourth lesson for IDS, which is about regression. And I will start with kind of the outline, what you will see today. We'll start first with the basic idea of regression. And then we will kind of look at it also with visualizations and explain."
29.87,57.87,"the kind of concepts and ideas that are behind the simple linear regression, then expanding it, looking at it also more formally with multiple descriptive features. Afterwards, we will briefly talk about how the results, like when you train a regression model, can be interpreted. And afterwards, in the second half of the lecture, we will handle categorical features, both as kind of inputs or descriptive features and target features, leading us to the topic of logistic regression."
57.87,87.81,"And at the very end, we will also briefly comment on two other extensions like modeling nonlinear dependencies in the data and multinomial regression task. As you see, I'm not Professor van der Aals. He is back next week for the lecture on SVMs. My name is Aaron. I'm one of the PhD students here and also the course coordinator for this year of IDS. Okay, let's get started with the basic idea of regression first. So regression is at least presented in this lecture as an error-based learning approach."
87.81,109.46,"What this means is that we start with an initial model, an initial linear function in the case of regression, and then kind of see how it performs based on some error metrics, and then iteratively try to kind of improve the function, lower the error, and then get, at the end, a well-adjusted model. So this is kind of what is visualized here."
109.46,130.34,place to start out initial linear function and initial model let's say randomly and then you improve it iteratively until you are like at the spot where the error let's say is minimized or is very close to being minimized and use a useful model in that sense so there are also other error-based learning approaches in this lecture so in the next lecture we will cover svms
130.34,154.48,and the lecture after that will cover neural networks which are also inherently error-based approaches but there are also more approaches which we will not cover in this course at all so for instance genetic algorithms where you have kind of a population and you mutate it somehow and then have a survival of the fittest approach where the best performing instances come to the next generation but in general I hope to
154.48,183.84,"The principle, which we will then see also in the example of linear regression in this lecture, becomes clear where you try to improve this randomly initialized function. So how does the regression model for a very simple case look? If we have a very, very simple case where we have just one descriptive features shown here as the x-axis and one kind of target feature, the thing you want to predict on the y-axis, this is just a line, right? A line mapping values from the one descriptive feature, the size, to a y-value, to the target feature."
183.84,215.15,"Here we have the size. This is the example we introduced later on. And the rental price is kind of the value we want to predict. And what we want to learn is a prediction model, so model mapping x values, so the size, to the target feature, the rental price. And we, of course, want to not find any such function but the one which kind of performs best, so the one that minimizes the error. If you remember from last lecture, we looked at decision trees. And there, what we did is we started out with categorical features."
215.15,244.38,"because all of our splits are always discrete. And then we showed you approaches of how this kind of idea can be extended to also continuous features. In regression, we work the other way around because at least the initial idea and the concept is based on continuous features. And then we will show you how you can also use categorical features both as input features or as descriptive features and also for the target feature for predict. And this is where the logistic regression then comes into play. But in general, both approaches, so decision trees,"
244.38,272.54,"and also regression supervised learning techniques because we have this target feature in our data. It's something that we have access to and we use also to predict and also to measure the error of our approach. Okay. With that out of the way, let's start with an actual example. So this is the example we saw before, but kind of really introduced here. So this is a data set with different columns, with different features. We have the size, the floor, the broadband rate."
