start,end,text
1.68,27.57,"Question number five of where we talked today about support vector machines. I'm still a bit jet lagged, right? I came from Uruguay and then in the weekend I was giving a tutorial at the European, let's say, AI conference and now I'm here. So the topic of today is a bit in between."
27.57,57.74,"like what you have seen last week, where we looked at very basic techniques that talk about first decision trees and then regression. What I talk about today is very much related to logistic regression, the technique that you have seen last week. And this is kind of in between these simple techniques and neural networks with the topic that we will start with, let's say, later this week. So it's a bit in between."
57.74,85.12,"And it helps to make the transition, let's say, from the basics to more advanced techniques where you also see a bit of the challenges that we are facing. So this is the agenda of today. So we basically have just one topic, support vector machines. We start very simple. So we assume that we have a data set that is separable, where..."
85.12,114.78,like you can think of it we are in an n-dimensional space and there is somehow a plane in this n-dimensional space which is I don't know separating the dog pictures from the cat pictures right or the students that are successful from the students that are not successful so we start with that basic assumption and then explain the machinery step by step and then later we will let's say see because for most data sets
114.78,139.82,"Such a separating plane, of course, does not exist. And then we look at extensions that are, let's say, addressing this problem. So let's simply jump into it with a bit of the things that we have seen before. So we have seen logistic regression. That is the technique that is most related to what we will talk about today."
139.82,168.83,"And the basic idea of logistic regression is that you try to separate, let's say, one class from another class. And it starts with just looking at a random, I don't know, separating line. And if you do that randomly, of course, the performance is very bad. But then there is this mechanism of gradient descent where you know..."
168.83,195.54,"what you should do to reduce the error. So this is of course a separating plane that's very bad. And then over multiple iterations, you start improving, let's say, the line that is separating, let's say, one group of instances from the other group of instances. And the trick why this works is that the problem is defined in such a way"
195.54,224.45,"that you can compute the derivative of the error so you know in which direction you have to walk to reach a global minimal error. And that is why this problem is formulated in the way that you've seen it before. So why is this relevant? Suppose that we are very naive and we would simply say, okay, we have instances."
224.45,253.2,"that have a target feature that is 0 or 1, and we have a model that has as outcome 0 or 1. Let's say instances above this line are 1, instances below the line are equal to 0. If we would make that naive understanding, it's very easy to understand this formula."
253.2,280.18,"because then you simply look at what is the error. But the point is, if we are just dealing with, let's say, values 0 and 1, we do not know in which way we should walk, because the derivative will be equal to 0. So we do not know in which direction we can improve the error. So this is why I show this picture. So if you are in a completely flat area,"
280.21,310.7,"And you should think of the altitude as the error that you have so far. If it's completely flat, you do not know in which direction you should walk to reduce the error. That is why we are using this logistic function that has this formula. And that kind of ensures that we are not in something that's completely flat, but something that has a slope. So that we know in which way we can walk."
310.7,337.87,"such that the error is reduced. Later, if we talk about neural networks, you will see again the same function for the same reason. So at first this function may seem very odd, but the derivative of this function has certain elegant properties. That is why it's used all the time. And also the interpretation is quite easy. If you look at this formula,"
337.87,364.5,"and you look at the value w times d, then this value can range between minus infinity and plus infinity, and this function squashes it between 0 and 1. And you can interpret this as a probability where, I don't know if we are at value 0, so on the separating line."
364.5,393.22,"You can think of this, okay, it's 50% in one class, 50% in the other class. That's the way to interpret this. So how does this help? So this plus and this plus and this plus. So this is on the decision boundary. So then W times D is equal to 0. And if we fill out in this formula 0,"
393.22,420.11,"then you will see that the result is half. So if a point is on this line, then you can interpret it. Okay, it may be 50% plus 50% the triangle. Right? So we do not know. So here there is no error. Then if we are, let's say, on this side of the line and you fill out the formula, you get, let's say, 0.1192."
420.5,449.57,"If you fill out this value. And the interpretation of this is that it is likely to be in the class associated to zero. So we would expect this value to be, let's say, a triangle. But it's not. And if we look at the error, if we fill out this, then it would be... So for this one..."
449.57,478.99,"we would predict it to be on the other side. And the further you are away, the more certain you are about the value. So for this value, this is a big error, because with a high certainty, you would expect a triangle. That's the way to interpret it. So the further away you are from the line, the bigger the error is. And that helps, let's say, the mechanism to smoothly walk down."
478.99,508.99,"to this decision boundary. So that was a brief refresher of where we stopped, let's say, last week when we talked about logistic regression. And now we go to SVMs. So SVMs are, let's say, much more sophisticated. And things are formulated in a certain way that there are opportunities to classify, let's say, a much larger class of examples successfully."
508.99,536.35,"So if this is one class and this is the other class, so these are, for example, the values 1 and these are where the target feature is equal to 0, there are many lines that we can draw to separate these two classes. So I can draw many possible lines. But it's clear that some lines are better than other ones. So here..."
536.35,566.13,"I would argue that the red line is better than the black line. Like the probability that they classify, let's say, unseen instances correctly is much higher if I take the red one. Because it's further away from the points. So you can think of this now as, let's say, a line that you can inflate. And you inflate it as much as possible."
566.13,595.7,"And if you inflate this as much as you can, as I just indicated, what you see is that you cannot further inflate it because on this side there are these instances and on this side there are these instances that are preventing it from inflating further. And the thicker this line can be, the bigger the safety margin is. So the goal is to..."
595.7,625.15,"to separate these points with a very big margin in both directions. And of course you now immediately think, okay, but there may be other points that are exactly in the middle, how to do that? This is, later I will talk about soft margins, and you can see that you can still use this ID, even if there are points in the middle. But now we assume something is completely separable, and we simply try to create"
625.15,656.58,"a line in between them that is as far away from, let's say, the points as possible. Do we see that? So what we now see is that instances are these points. We have, let's say, this one class that you can think of as the class 1. And you have this other class that you can think of as a class 0. And what you now see is that only these points matter."
656.58,683.49,"These points that are very far away from the decision boundary, they play no role for this safety margin. So these points that are on the line that we get if we inflate the line as much as possible, are called support vectors. And I hope that everybody sees the rest of the points do not matter. The rest of the points are easy."
683.49,709.84,"The things that are, let's say, in danger are the things that are as close as possible to the decision boundary. So only the support vectors matter. And if I visualize this, this is what we get. So we spent the whole lecture deriving now, let's say, the conditions to maximize, let's say, the safety margin and how to do it."
709.84,738.1,"Remember that if you talk about logistic regression, a point that is up here is influencing where this line is running. But now points that are here and points that are here play absolutely no role. Because they're very easy. So we should not focus on them. We should focus on the points that are difficult to classify. That's the goal."
753.36,785.58,"So here, if I would remove this point, it would still look exactly the same. If I would remove this, then it could have gone like this. It depends a bit on the other points. But just think of this as a line that you inflate. And in the end, it is stuck between at least two points. No, no. Just one point is enough. It's just the way that I draw it here."
785.58,816.13,"But here I'm only showing the point. So for example, if I would... So here it doesn't matter because of the way that I had drawn it. But just remove this point and remove this point. And the thing would probably be a bit like this, if you see what I mean. So if I would remove this one and this one, then it would be a bit like this. And then you would see that there would only be two."
816.13,845.79,"And of course you need to think this in like a hundred dimensional space, right? So it's a bit difficult. Yeah, so we focus on these support vectors and the intuition behind is that we are focusing on the points that are difficult to classify, not the points that are easy to classify. So if I'm classifying, let's say, pictures of dogs and pictures of cats into dog or cat,"
845.79,875.68,"then like a dog support vector would be a dog that looks very much like a cat. And a cat support vector would be a cat that would look like almost a dog. So these would be the support vectors, the things that are difficult to classify and probably close to the decision boundary where we are not sure. So that's what we would like to focus on. So our own dog, Miffy,"
875.68,900.64,"Like is clearly not a support vector. So Miffy, our dog, would be something like here, where everybody can immediately see that it's a dog. So we do not need to spend a lot of time on classifying Miffy, because that's a clear case. We should spend our time on the things that are close to the decision boundary. That's the idea."
900.64,931.14,"So let's elaborate a bit on this separating plane. So if we have a one-dimensional space, we have just one feature and we would like to separate it, we get a hyperplane of dimension zero. And dimension zero is simply one point. So here I want to separate the white instances from the yellow instances and the separating plane."
931.14,959.65,"is a point exactly in the middle. This is where I have two dimensions, and the pattern that you should see, if I have an n-dimensional space, so I have n features that I'm using, the separating plan has n-1 dimensions. So here I have two features that I use to classify into yellow or white."
959.65,989.66,"And that means that the hyperplane separating this has a dimension of 2 minus 1 is equal to 1. If I go to three dimensions, it becomes very easy, because what you see here, we have three dimensions, so the separating plane has two dimensions. And here I cannot draw four dimensions, but this is what you should try to do in your mind. So if we have n descriptive features,"
989.66,1019.92,"that we are using for classification. So we have n descriptive features. The hyperplane has n minus 1. And as I said, the problem is I can draw this still if n is 3. If n is 4, I can no longer draw it. But that's what you should try to do in your mind. And these SVMs that we talk about now are very well equipped of dealing with, let's say, very large dimensional spaces. Much better than regression."
1020.56,1047.7,"So let's become a bit more technical. So what is a hyperplane? A hyperplane can be described by, let's say, an expression like this, that I can also write like this. So this is the dot product between the weights and the, let's say, variables corresponding to the instance. So think of x."
1047.7,1074.26,"These are these dots that are here in this n-dimensional space. And a hyperplane is described, let's say, in this way. So it is constraining the values of x to the plane that I see here. This is the dot product, and I can also write this completely in full, like this."
1074.58,1104.34,"And the only constraint that we have for such a hyperplane is that at least one of these W's is not equal to zero. Because if they would all be equal to zero, then B has to be equal to zero and we have no constraint, we would simply have everything. But if one of these values is not equal to zero, then we have defined such a hyperplane in an n-dimensional space."
1104.34,1131.06,"And if we can define this plane using such an expression, we can basically talk about being above it or being below it. So such a plane is separating the points in this n-dimensional space in the ones that are bigger and the ones that are smaller. Clear? That's the basic idea."
1131.57,1159.55,"And I will describe this in a more technical sense in a minute. So what to do if things are not separable? Then there are two cases. It could be that we are dealing with an outlier. We need to deal with that, with a technique that we call soft margins, that I will explain. But the problem can also be structural. And then you need to use things like kernels."
1159.55,1188.75,"That's another technique that I will talk about later today. So here we see an example where I cannot draw, let's say, a line here in between them separating the yellow dots from the white dots. I cannot draw it. So if I look at this situation, the same story, there is no line that I can draw here. I can do this."
1188.75,1218.34,"But then I'm making errors with respect to these two instances and errors with respect to these two things. And so these would be cats that we classify as dogs or dogs that we classify as cats simply because they are too much looking like the other species. Right? And this can happen. So what we will do later, let's say in this lecture, is that we relax the problem. So we still try to inflate"
1218.34,1243.22,"this, let's say, safety margin. But at the same time, we have another force that is allowing us to have a few outliers. So then we look at the mixture of these two techniques. So on the one hand, we try to maximize this. On the other hand, we try to minimize, let's say, the points that are violating this constraint."
1244.43,1270.93,"will become clear. So we have two forces, and later you will see a formula where you can basically balance between these two forces. So this example is an example where you could argue, okay, we have like this one and this one, they're kind of outliers, and this one is an outlier. But if you look at this situation, that is no longer possible, right?"
1270.93,1299.47,"We can say, okay, the boundary is here or the boundary is here. But we are making a structural problem. If we put the boundary here, right, and we are classifying all of these points incorrectly. If we put the boundary here, we are classifying all these points as incorrectly. So here we have a structural problem. And the structural problem, so here you see the same thing. Like I cannot draw a meaningful line."
1299.47,1326.37,"separating the yellow and the white dots. So here we are not dealing with outliers, a few exceptions, dogs looking like cats, but we are still, we have a, let's say, a fundamental problem. At the same time, everybody can see, okay, if you would have like a circle, then suddenly you would be able to separate it. So we can no longer use a linear function."
1326.37,1356.77,"We need to address this more systematically. And when we talk about kernels, this is exactly the topic that we will do. So the way to think about this, if you have a problem like this, is that you try to lift the number of dimensions. So you can think of this if you have something like this. If there is a way to transform it in a two-dimensional space, then I can nicely separate it."
1356.77,1384.64,"So we increase the number of dimensions in order to still be able to do linear separation. Right? Simple. Right? Not really, because now I'm going to show you the formulas. Right? And we need now, like I assume that everybody has, let's say, linear algebra background, but I'm repeating some of the stuff so that..."
1384.64,1414.5,"If your knowledge is rusty in that area, that you're not immediately lost. I'm taking some of the, let's say, pictures that are in this book. Just like with the other books, you do not have to look at it, but you can look at it if you want to go deeper. So we need to talk about vectors. So this is a vector. And I think everybody, so Pythagoras, what is the length of this vector? It's equal to five."
