start,end,text
3.28,31.22,"Okay, let's get started. Welcome to lecture number seven. Today we have one goal and it's very simple, right? I wrote a bunch of formulas on this slide and the goal is that you understand this, right? And you need to be able to apply it and you can only apply it if you actually know what these things mean."
31.22,59.6,"So please bear with me today. I will walk you through the complete derivation of these formulas in such a way that you really understand it. And then this is the hidden secret behind the neural network, right? This is in the end very simple if you understand how it works. So the agenda for today is that in the first lecture,"
59.6,90.99,"Last week on neural networks, I introduced what a neural network is. It's a bit disturbing if people come so late. Now they do not know what the goal is of today. So I already introduced a neural network and we looked if the weights have certain numbers, how you can do this feed forward. What we will focus on today is that if you have lots of training examples,"
90.99,119.28,"How do you update this new neural network? And that's the goal. After this lecture, we will be done with standard supervised learning techniques. Like what comes after this is unsupervised. How to evaluate these techniques. And we will start looking at special types of data like time series, event data, text data. And then we go into more, let's say, specialized topics."
119.82,149.62,"So let me repeat, because it's Monday morning, let's say, where we stopped, let's say, in the last lecture. I explained you what a neural network looks like. So we have a bunch of neurons. We also saw that if you want to express something as simple as an exclusive R in logic, you need to have, let's say, a hidden layer in the middle. And I gave you proof."
149.68,173.84,mathematical proof that that is impossible to do without having an extra layer in terms of these formulas. So we have outputs numbered y1 until yn. We have inputs numbered x1 until xd. And here we have one hidden layer in the middle. And typically we have many more.
173.84,203.68,"Just to explain the notation, this is sufficient, so you can imagine that there are multiple layers of these blue nodes, and they always have connections where a neuron of the previous layer is connected to all neurons of the next layer, but not more. So it always makes one step. So there are no connections, I don't know, from here to here, or something like that. It always goes just to the next layer, but it's fully connected."
203.68,225.3,"architecture that we assume, and what I showed you, let's say, in the lecture last Wednesday, was that you can think of this as function composition, right? Every layer is basically a function call, right? And you do this repeatedly, and that's how it works."
225.94,254.43,"Like if you have such a neural network and you have the inputs, it's very simple. You just multiply all the inputs with the corresponding weights and then you sum them, let's say, at every neuron. Then you apply an activation function and then there is an output that is given to the next layer. So we will see that again in more detail, but that's pretty easy. And we start by randomly assigning weights to..."
254.43,283.71,"We start by randomly assigning values to all these different weights. And if we do that, for a given input, we get certain predictions. But we are doing supervised learning, so we know what the output should be. And then, for every output neuron, we are comparing the, let's say, predicted value with the actual value. So it could be that, I don't know, these are the values that are predicted."
283.71,312.53,"These are the actual values. We have this error function. And today, again, you will see why it has this, let's say, odd structure. It has this odd structure because the derivative of this is very simple, right? It's just yk minus tk, right? If you take the derivative of it. So we compute the error using this function, right? So we take the difference, we square it, and we take half, and we sum up these things."
312.56,341.28,"And now the basic idea is that we, given a certain error, using gradient descent, we know in which direction we have to walk to reduce that error in a maximal way. Right? We want to walk down towards the error. So the goal is to lower this. And through, let's say, computing all the different derivatives, we know, let's say, how to update all the different weights. So for example, we..."
341.28,368.86,"we may decide to increase this weight leading to this number leading to a lower error. So that's the whole game. And if we have set this up properly, then we reach, let's say, a global minimum for this, let's say, basic problem. Of course, what I was just telling you about is that we have, let's say, one input and one output."
368.86,398.05,"But we have, of course, thousands of training examples, or millions of training examples. So we should not just compute this term, but we should do that for all the different instances. So we should compute the error not just for a single input, but we should sum over all the different inputs. And using the sum rule, when you apply derivatives, like this is very simple. It's a lot of work."
398.05,427.25,"But from a mathematical point of view, nothing really changes. So in most of the lecture, I will focus on just a single instance. And using the sum rule, you can then apply that for everything. And I showed you this picture before. So this is me. And this is like the steepest way down. That is the main idea. And these pictures are just, again, to put a mental image that you see what we are trying to do."
