start,end,text
3.02,28.4,"Okay, let's get started. So welcome to lecture number eight. So in the last weeks we have been looking at many supervised methods. We started with very simple things like decision trees and regression and later ended up with, let's say, backpropagation in a neural network. So you've seen quite a few methods today."
28.53,57.81,"before today. So today we are going to look at how to evaluate these things. And the central message, as you will see, is you can only evaluate how good the model is based on data that you did not use for training, which is very obvious. But you will learn, let's say, various metrics of how to quantify, let's say, the quality. After this lecture, starting on Wednesday, we will go into unsupervised methods."
57.81,85.28,"where it's not so clear how to evaluate, because you do not have a specific target. Let's simply dive into it. Before doing that, as you all know, the assignment has been posted last week, and people always warn you, keep the deadline, make sure that you do it in the group, etc. So please note these things, probably the people in the room."
85.28,112.59,"will not have many problems. But the people that may be watching this video later may have problems. So make sure that you start in time, that you are working in a team that is reliable. We cannot help you. I don't know if one week before you say, my team members, they never responded. What should I do? We cannot help you. It is your own responsibility."
112.59,141.42,"As I said, I think for the people that come to the lectures, these are not the problem cases. It's typically the people that are not here that in the end start asking these types of questions. Note that the swine is important. You need to pass it in order to participate in the exam. That's what was also indicated before. So don't play the game of chicken. I like waiting until the last minute to get started."
141.42,171.76,"It's your own responsibility if that gets derailed. So this is the topic of today. So as I said, we have many different topics. And they are all related to how to evaluate, if you are applying a supervised method, how to evaluate the result. And what you will see is that we will look at things like cross-validation."
171.76,196.7,"We will look at the area under the curve. We will also look at the situation where your data is unbalanced. Suppose that I want to detect intrusions in a network, and intrusions only happen one in a thousand times, and if I have a classifier that always says there is no intrusion..."
196.7,226.4,"you will see surprisingly that the quality seems very good, but of course you're not doing anything, right? So we will see how you can deal with the situations where data is unbalanced, and you will see that there is a lot that comes to quality. Towards the end, we have, let's say, more informal topics. That means that even if you have an excellent predictive model, and I will give you an example of that, so I'm perfectly able to"
226.4,254.58,"to predict something, and I try to influence reality, the moment that I start influencing reality, my prediction is no longer valid. So if you do an intervention, then after that you should always again test the results, and that is what is typically called A-B testing. Okay, so let's talk a bit about the need for evaluation, but I think that's very clear."
254.58,285.38,"So we are constantly looking at the situation where you have a bunch of descriptive features and we want to predict a particular target feature. And we have seen a long range of things, ranging from regression, decision tree, support vector machines, neural networks. You've already seen a lot of things. In this part of the lecture, we are just considering tabular data."
285.38,315.38,"So you're interested, for example, in study results and you would like to predict these other things. So it may very well be, for example, in this room, if everybody has a different birth date, then I can build a model that would link your birth date to the result for this course. That would not be very useful. And this is because it's overfitting the data. It does not help."
315.5,344.9,"If I have another measure that I would, I don't know, count at how many lectures you have been present, and I would say, okay, if you have been at half of the lectures, then I predict pass, right? You could say that that is something that is underfitting, because there are lots of, let's say, characteristics that I'm not using. So this is the problem of balancing between underfitting and overfitting. So I think everybody here will see, okay,"
344.9,372.05,"probably lectures present will have, let's say, some effect on the study result. If your model finds, for example, that your first name has a very strong impact on the study result, you could think, okay, does this make sense? Or are we overfitting something, right? Is there a problem with the data? And the bigger problem that you will have if you start doing this,"
