start,end,text
2.74,31.15,okay let's get started so welcome to lecture number nine already so as i said we are now done using the let's say supervised learning we now go into unsupervised learning so today we will talk about clustering you will learn let's say four very concrete techniques that you will be using hands-on but also
31.15,61.2,"where we can ask, let's say, pen and paper exercises. And before I dive into that, like in the last lecture, at the end, I had, let's say, some timing problems. So there were a few slides that I did not show. I do not want to, unless I'm done early today, I do not want to go into this in detail because then I probably create another problem. That is the, we ended with talking about concept drift."
61.23,90.9,"So concept drift means that you're observing a process and that the process is changing over time. So for example, if you would look in something like healthcare, you will see that, I don't know, the number of people smoking and the people getting cancer, et cetera, is not a stable thing, as these graphs show. So often if you have a data set, it is very important to be able to analyze, is my underlying data changing?"
91.12,116.46,"And in the last lecture where I didn't have time to elaborate on that, there is something that you only need to know at a very high level, that is the earth-mover distance. So the earth-mover distance is basically a way of comparing two distributions. So you observe a process, for example in February, and then you observe the same process in March."
116.53,144.27,"And then you look at the distribution of the cases. You can just look at any feature and you look at the distribution. And using the earth mover distance, you can basically get a number between how different are two distributions. That's something that you only, at this point in time, need to know at a high level. The thing that is more detailed is the formula that you see there, where you are..."
144.27,172.35,"comparing, let's say, two distributions that are categorical. You can also have been using binning. And then you compare, let's say, the frequency of, let's say, a certain categorical attribute or numbers in a particular range. And you compare them between two different time periods. And if you apply that formula, then you get a number."
172.35,198.83,"And if that number is close to zero, if it's precisely zero, then there is absolutely no change. If it's smaller than 0.1, we say there is no significant drift. If the number is higher, and for example above, let's say 0.25, we say that there is a significant drift. So this is a way of measuring two different distributions."
198.83,228.4,"If things are unclear, post a question in the forum or come to me afterwards, right, then I can explain this in more detail. Because now I would like to dive into the topic that we talk about today, that is clustering. I briefly start talking about unsupervised learning, but that should be clear to you. And then I dive into these concrete methods that I mentioned before."
229.9,251.1,"Data science is a very broad field and there are many different names for exactly the same thing. So I'm mixing, let's say, content from different books. Sometimes I'm using screenshots that come from a particular book in this space. Please be more quiet. Thank you."
251.1,281.63,"So for example, I will often be talking about instances, but if you go to another book, people may talk about objects or tuples or something like that. I talk about a feature, but in other books it will be called a variable attribute. So probably if I talk, I'm very sloppy in the terms that I'm using, but I hope it is clear to you. So don't be confused with it. These things are exactly the same thing. So unsupervised."
281.63,310.5,"We have been focusing on this problem, for example, using neural networks, decision trees, regression, SVMs. That was all focused on we have a target attribute, and now we go to the situation where we no longer have a target attribute, but we want to find patterns in our data. That's the basic idea. That makes it a bit, let's say, more difficult, but at the same time also probably more interesting."
310.5,340.7,"You find things that you were not explicitly looking for, unlike a neural network, which you're trained to do a very particular task. So these are the unsupervised methods that we will talk about today. We just talked about clustering, but in the next weeks, you will see things like frequent item sets, association rules, sequence mining, process discovery, time series, et cetera, et cetera. So lots of unsupervised methods."
