start,end,text
3.15,32.27,"Yeah, so time flies. Already lecture 10. So we are, let's say, almost halfway. The lecture series already. Because I think that, if I'm not correct, I think there are 22 lectures. So today we continue with unsupervised learning. So in the last lecture we looked at clustering. One of the things that I did not say at the end, but you will see that many, let's say, slides are ending with..."
32.27,61.7,"let's say, pictures of cocktails. And the thing is that I want you to think about how you can combine these various techniques. So last lecture, we saw clustering. So how can you use clustering? You can use clustering to kind of put instances in groups that you analyze separately. So if you have identified three clusters, then you could add that maybe surprising."
61.7,91.68,"And you get the feel for the data. And then for each of these clusters, you could again use visualization. You could also turn, if you have found that there are, for example, three clusters, then you can label all of your instances with the cluster attribute. So you get an additional feature, which is the target feature. And once you have that target feature, you can again use supervised learning for that. So what defines now?"
91.68,119.47,"the cases that are in a particular cluster. So I want you to think about combinations of all of these techniques. Today we start frequent item sets. That is finding what are combinations of values that happen frequently together, but also representations. If you have found out, okay, these are interesting frequent item sets, you could again use that for clustering. Or you could again use that"
119.47,147.63,"for SVMs or regression, etc. So I want you to think about it in this way. So this is what we do today. I briefly say something about pattern mining. Depending on the data, you can identify different patterns. Then I define what are frequent item sets. And then you will see two algorithms, a priori and FP growth, where a priori is relatively easy."
147.63,176.83,"And FP growth is relatively complicated, right? So there you really need to pay attention that you understand how that works. These algorithms, I think, are very interesting because they show you mechanisms that you cannot only apply to item sets, which is the focus that we focus on today, but the same principles can be used to find patterns in graphs or find patterns in text, find patterns in images."
176.83,206.19,"So the principles are very general, but we focus today just on these frequent item sets. Again, as in many lectures, I show you a bit where we are in the various books, and this book is kind of the main book that we are using if we talk about unsupervised learning. But as I promised at the beginning, I try all of my slides to be self-contained, that you only have to go to these things if you would like to dive deeper."
206.77,235.9,"Okay, pattern mining very broadly. So you have data and you want to find patterns in it. And today we focus on frequent item sets. In the next lecture, we will focus on association rules. And an example of an association rule would be that, I don't know, customers that buy diapers also buy beer. Right? So it's a rule that if people have this, then they also do that."
235.9,264.75,"Or if you would bring that to, let's say, study programs, people that take the course IDS and take the course BPI typically also take the course advanced process mining. So you want to find patterns like that. And that's when I talk about Wednesday, I will explain this. There are also patterns in sequences. So all the things that I talked about before, I was not talking about an order."
264.75,291.12,"For example, the order of courses. If you think about sequences, then, I don't know, customers that do this and that, after they have done, let's say, A and B, they typically also do C, right? And that's the topic of sequence mining. Then there are partial orders, and you can go to graphs. So you can look at all kinds of, let's say, data structures, and you would like to find patterns in them."
291.98,317.3,"There are two main challenges, and today we focus very much on the first one. That is the challenge that you have. Typically your data is large, right? It can be that you have millions of instances. But even if your data is relatively small, that you have like just a couple of hundred of instances, if you have many attributes..."
317.3,344.08,"then the number of possible combinations is exponential or even factorial. So even when your number of instances is relatively small, the set of potential patterns is huge. And I will give you some examples of that. So for example, if in computer science there are just a couple of hundred of students, that is relatively limited."
344.08,367.73,"But if you look at the number of combinations of courses that you can take, the number of possible combinations of courses is way higher than the number of students that we have, right? And if you go to patents, you end up in these problems. So when I talk about, for example, the a priori principle, that is a way of dealing with this problem, like a very general way."
368.66,398.35,"The second thing, and we will not dive into that today, but we will do that when we talk about association rules, is how interesting is a pattern. So if you have a large number of potential patterns and you find thousands of patterns, how do you now decide what are the things that are interesting? And we will look at ways of, let's say, quantifying this in such a way that you can look for the patterns that actually..."
398.35,424.88,"like have value for you. So as I said, when we are talking about these things, we will talk about item set sequences, event data, and time series, right? These are topics that you will see later in this course. Today, we just focus on item set data. But I would like to give a bit of a preview of these other types of data, just when we dive now into item sets that you can see."
424.88,455.31,"Later we will look at other types of data. For example, event data. So what is event data? That's very common data where you have, let's say, a bunch of features and you have a timestamp and every row in such a table corresponds to an event. If you have such data, you see behavior and in this behavior you would like to identify patterns. So again, what do we see? Every row is an event, something that has happened."
455.31,484.14,"Events are ordered based on their timestamps, and you typically group them based on some feature. So for example, if this would be study behavior, then I may want to take all the events belonging to a particular student together. And I see that they belong together, and I will exploit that in my analysis. That's what I just said. So then you could have data that looks like this."
484.14,513.52,"So we will look at finding patterns in event data later. Then there is time series data. It looks very similar, but the nature is very different. So we have timestamps. And for every timestamp, we have a bunch of features. But these features are numerical. They are not categorical, like take this course. But they are, let's say, some measurement that is being taken."
513.52,543.49,"And the timestamps that we have, have like a regular distance. So for example, if you think about, I don't know, software to monitor, let's say, in an ICU in the hospital, like every, I don't know, one minute a measurement is taken, right? And then you get the time series. And it's not surprising that the measurement is being taken, right? It is planned that it's taken and you measure the value. If you look at event data,"
543.49,570.86,"The fact that it happens means something, right? So it looks very similar, but the nature is different. Today, we will make it much simpler, so we will not consider a time component. We just have, let's say, columns that correspond to items. And when I say items, you can think of courses, you can think of products, right?"
570.86,594.51,"Think of, you can think of songs, you can think of movies. But the thing is that all of these columns are somehow comparable, right? So this could be movie one, movie two, movie three, right? Product one, product two, product three. So they are very, let's say, comparable. Every row is a transaction."
594.51,624.43,"And you can think of this, I don't know, a customer going to a supermarket and buying a bunch of products. And as I said, all of these features may refer to a product. It could be a disease, a song, a course, an error code. But they are comparable somehow. And then every cell is indicating whether for this transaction, whether this item is present."
624.43,652.64,"And there are two situations. We can look at it as booleans. It's present or not. Or we can think of it as numbers. Right? So, I don't know, a user has played a particular song on a particular day. Right? That would be like a boolean. Yes or no. But if you go to a supermarket, then, I don't know, a person could have bought, I don't know, ten bottles of beer. And then there would be a number ten here. Right? So..."
652.64,679.47,"These are the two situations that we will look at. And then the best way to, although the application is much broader, you can apply it to education, to healthcare, I don't know, to movies, to whatever. But the typical example that we will look at is that we look at somebody going to a supermarket and buying a bunch of products. And here you can see it."
680.18,709.3,"And here you can see that of the same product, a person has bought, let's say, multiple items of it. And this data can be mapped onto a table like this. So now somebody has been in the supermarket and has been buying these products. And what you see here are quantities, but as I said, you can also think of it as Boolean values. It's present or it's not. So that is..."
709.3,738.99,"The type of data that we will look at all the time, so if you have numerical values, of course you can turn it into Booleans, but if it's Booleans, of course you cannot turn it into the other way. That is the basic thing. And as I said, this is very broad, although we often talk about, I don't know, let's say a shopping basket, what is in it. You could think of restaurant bills, where you can see what people have been eating."
738.99,767.46,"You can look at patients, what kind of diseases people have, students, what kind of courses, repairs, what are the components that are being replaced. I don't know, Spotify users, the song played, et cetera, et cetera. So these types of data are omnipresent. You just need to look for it. So this is what we are now interested in. And today we just focus on something very simple."
767.46,796.53,"We look at the set of items and we want to decide whether it is frequent. And the challenge that you will see is that you have, let's say, lots of possible combinations. And that's the challenge, how to deal with this efficiently. So, for example, this is an item set. And if it's frequent, that means that many customers have been buying this set of products."
797.42,827.54,"And we will use that as a basis in the next couple of lectures to look at more complicated structures like association rules, sequences, etc. But we start very, very basic. So let's be a bit more technical. So I is the set of all items. And then any subset of this would be an item set. So here you can read, I don't know, beer, diapers, whatever."
827.66,857.25,An item set is a set of these things. A transaction is a non-empty item set. We can only see a customer if the customer has bought at least one product. Otherwise it will not be in our data set. A data set D is a collection of these transactions. And of course there can be two customers that are buying exactly the same set of product. There can be two customers.
857.25,886.69,"that both buy diapers and beer. So that's why we have a multi-set. So technically, our data that we use as input is a multi-set of sets of items. And why is this the case? In this first abstraction, we do not care how many products of a certain type people have bought. We just look at is it there or not."
886.69,914.48,"But we care about that multiple customers may buy exactly the same set of products. And that's why we have a multi-set of a set of items. So that's the setting. So to visualize it, now D, what I said earlier, D is a multi-set of a set of items. So because it's a multi-set, we have these square brackets here. So we have a square bracket here and at the end."
914.48,944.85,"And then this is a multi-set of sets of items. And now you can see that there are two customers that have been buying milk. They are exactly the same. And if a D would be a set, if I would have here the symbol P, that would not be possible. So we have multi-sets because two customers, and here you can see an example, may buy exactly the same product. Clear? So that's why we have this representation."
945.3,975.92,"So if I look at this table, this table is represented by this mathematical construct, a multi-set of sets of items. So we can look at this where this is a set of items. And if you look at this example, so for example the first customer, we just have Bitburger and Penne."
976.05,1006.11,"And we lose this information that the customer bought two. And that is because there is a P here. We look at the set of items. It's also possible to replace this symbol by a multi-set. So now we have a multi-set of a multi-set of items. And now what you see here, there is this two here that is indicating that we are recording. This first customer was buying Bitburger and Panne."
1006.11,1036.72,"but he bought two beer, right? And here there is two melo, et cetera. Clear? So these are the two representations that we can use. Yeah, yeah, yeah, yeah, yeah. So like in multi-set, you often use a superscript to indicate how often something has happened. So if I go back, perhaps, oops, what did I do now? That's not good."
1042.13,1071.34,So for example here I have two sets of milk. I could also represent this that I would drop this set here and I would write a 2 at exactly this position. That would mean that I have two of the same. It's the same principle. So now we can talk about support and this looks complicated but it is super simple. We just look at how often does a subset now appear. And you should look at this symbol.
1071.34,1098.7,"So we are interested in, let's say, looking at transactions in our database where at least X is included. So this is, in other words, talking about the fraction of customers because I divided by the number of transactions. So this is the fraction of customers that bought at least X."
1099.18,1127.74,"And if I look at support count, I'm counting them. So again, D is our database. It's a multi-set of sets. And now I look at how many customers have been buying, let's say, the elements in this set X. And they should have bought everything that is in X, but they can have bought more. And again, if you understand the mathematics, you just need to look at this symbol."
